What is the capital of France?;Paris;Easy
What is 2 + 2?;4;Easy
What is the largest planet in our solar system?;Jupiter;Medium
What is the square root of 16?;4;Easy
Who wrote 'Romeo and Juliet'?;Shakespeare;Hard
What is the capital of Germany?;Berlin;Easy
What is the chemical symbol for gold?;Au;Medium
What is the largest mammal?;Blue Whale;Hard
What is the speed of light?;299792458;Hard
What is the capital of Japan?;Tokyo;Easy
What is the smallest prime number?;2;Easy
What is the currency of the USA?;Dollar;Easy
What is the largest desert in the world?;Sahara;Medium
Who painted the Mona Lisa?;Da Vinci;Hard
What is the boiling point of water?;100C;Easy
What is the capital of Italy?;Rome;Easy
What is the chemical symbol for water?;H2O;Easy
What is the largest ocean on Earth?;Pacific;Medium
Who discovered penicillin?;Fleming;Hard
What is the capital of Spain?;Madrid;Easy
What is the square root of 25?;5;Easy
What is the largest continent?;Asia;Medium
Who wrote '1984'?;Orwell;Hard
What is the capital of Canada?;Ottawa;Easy
What is the chemical symbol for silver?;Ag;Medium
What is the largest country in the world?;Russia;Hard
Who invented the telephone?;Bell;Hard
What is the capital of Australia?;Canberra;Easy
What is the chemical symbol for carbon?;C;Easy
What is the largest lake in the world?;Caspian Sea;Medium
Who wrote 'Pride and Prejudice'?;Austen;Hard
What is the capital of Brazil?;Brasilia;Easy
What is the chemical symbol for oxygen?;O;Easy
What is the largest volcano in the world?;Mauna Loa;Medium
Who discovered America?;Columbus;Hard
What is the capital of India?;New Delhi;Easy
What is the chemical symbol for iron?;Fe;Easy
What is the largest river in the world?;Amazon;Medium
Who wrote 'The Great Gatsby'?;Fitzgerald;Hard
What is the capital of Russia?;Moscow;Easy
What is the chemical symbol for sodium?;Na;Easy
What is the largest animal on land?;Elephant;Medium
Who wrote 'To Kill a Mockingbird'?;Lee;Hard
What is the capital of Egypt?;Cairo;Easy
What is the chemical symbol for potassium?;K;Easy
What is the largest city in the world?;Tokyo;Medium
Who wrote 'The Catcher in the Rye'?;Salinger;Hard
What is the capital of Mexico?;Mexico City;Easy
What is the largest organ in the human body?;Skin;Medium
Who wrote 'The Odyssey'?;Homer;Hard
